Ticker,Date,EPS,P/E Ratio,Debt-to-Equity,Revenue,Net Profit,ROE,ROA,Net Profit Margin,Operating Margin,P/B Ratio,EV/EBITDA,Asset Turnover,Revenue Growth
RELIANCE,2024-06-30,11.19,34.59981009830206,0.9543063355044986,451293000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1637320380489779,0.22574028242074684,9.254817157488798,24.21985470444341,0.4471917766391212,0.0331354618787622
RELIANCE,2024-09-30,12.24,30.038831124897875,0.4362971396773213,2315350000000.0,165630000000.0,0.0808490541861461,0.0365000057847319,0.071535620964433,0.1341222709309607,2.428720544215491,18.17313660171811,0.5102353945159639,0.0331354618787622
RELIANCE,2024-12-31,13.7,22.091512192774864,0.9543063355044986,2399860000000.0,185400000000.0,0.19911357351607614,0.06595332669931965,0.0772545065128799,0.1451001308409657,9.254817157488798,11.761682681741208,0.4471917766391212,0.0364998812274601
RELIANCE,2025-03-31,11.11,46.01398814808239,0.4383005218216318,2613880000000.0,194070000000.0,0.0920635673624288,0.0398067607086944,0.0742459485515785,0.1266699312898832,2.002294093410654,14.77849878861268,0.5361472441966422,0.0891802021784604
RELIANCE,2025-06-30,19.95,18.72970695782425,0.9543063355044986,2436320000000.0,269940000000.0,0.19911357351607614,0.06595332669931965,0.1107982531030406,0.181347277861693,9.254817157488798,11.444733091868724,0.4471917766391212,-0.067929667773578
RELIANCE,2025-09-30,11.11,46.01398814808239,0.9543063355044986,451293000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1637320380489779,0.22574028242074684,9.254817157488798,24.21985470444341,0.4471917766391212,0.0331354618787622
RELIANCE,2025-12-31,13.78,28.490566480661517,0.9543063355044986,2649050000000.0,186450000000.0,0.19911357351607614,0.06595332669931965,0.0703837224665446,0.1370680055114097,9.254817157488798,14.631916383101236,0.4471917766391212,0.0331354618787622
HDFCBANK,2024-06-30,10.835,19.409992269067978,1.415097132720398,724169900000.0,164748500000.0,0.1384918187682501,0.0164479660462169,0.2274997897592816,0.22574028242074684,2.7204424379056387,24.21985470444341,0.0722988186653737,0.0331354618787622
HDFCBANK,2024-09-30,11.11,46.01398814808239,1.0436007649924546,195554500000.0,173810500000.0,0.0957069280691902,0.0152119997117771,0.8888084907276488,0.22574028242074684,1.8100451176082573,24.21985470444341,0.0171150476964091,-0.7299604692213802
HDFCBANK,2024-12-31,23.11,9.461304925830268,1.301248277819151,652796600000.0,176566100000.0,0.1406368092063269,0.016703743411968,0.2704764393687099,0.22574028242074684,2.679941280378353,24.21985470444341,0.0617567409973099,2.338182450416636
HDFCBANK,2025-03-31,11.11,46.01398814808239,0.9543063355044986,953058900000.0,153934600000.0,0.0802067357628635,0.0127779240196565,0.1615163553899974,0.22574028242074684,1.7481617178776607,24.21985470444341,0.0791122607292802,0.4599630267682153
HDFCBANK,2025-06-30,10.615,23.5107350001288,1.1050040872852018,853464600000.0,162579100000.0,0.1198443842499959,0.0145940168095674,0.1904930796192367,0.22574028242074684,2.830882160199385,24.21985470444341,0.076611795235493,-0.1044996274626888
INFY,2024-06-30,11.11,46.01398814808239,0.9543063355044986,451293000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1637320380489779,0.22574028242074684,9.254817157488798,24.21985470444341,0.4471917766391212,0.0331354618787622
INFY,2024-09-30,0.19,2369.9735942639804,0.9543063355044986,451293000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1637320380489779,0.22574028242074684,9.254817157488798,24.21985470444341,0.4471917766391212,0.0331354618787622
INFY,2024-12-31,0.19,2402.5813052528783,0.0931405840690792,4939000000.0,804000000.0,0.3120209566314155,0.1974096126695721,0.1627859890666126,0.2338530066815144,716.7241729535722,1598.6197079291055,1.212694125590817,0.0331354618787622
INFY,2025-03-31,0.2,1853.278350830078,0.0858545292280232,4730000000.0,813000000.0,0.2902275769745649,0.1866926918881681,0.1718816067653276,0.2386892177589852,535.3174754024581,1172.0745332065171,1.0861702738389116,-0.0423162583518931
INFY,2025-06-30,0.2,1972.060089111328,0.0626072815972536,4941000000.0,809000000.0,0.2923479989158912,0.1854760130681492,0.1637320380489779,0.2080550495851042,576.6262191983711,1551.5969407360824,1.132802200951453,0.0446088794926005
INFY,2025-09-30,11.11,46.01398814808239,0.0847515901667526,5076000000.0,839000000.0,0.2884648444215231,0.1857838795394154,0.1652876280535855,0.2318754925137904,493.8220121410989,1094.2401465795626,1.1240035429583703,0.0273224043715847
INFY,2025-12-31,0.18,2243.6111450195312,0.1059244016029459,5099000000.0,747000000.0,0.3236217914004116,0.1873001943208174,0.1464993135909001,0.205138262404393,707.8315102109323,1389.0668226567896,1.2785056102300507,0.0045311268715524
BHARTIARTL,2024-06-30,7.21,49.72102446959518,2.3653278856530706,451293000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1637320380489779,0.22574028242074684,9.254817157488798,24.21985470444341,0.4471917766391212,0.0331354618787622
BHARTIARTL,2024-09-30,6.21,68.25188530815973,2.589523912309667,414733000000.0,35932000000.0,0.1650198513388459,0.0311786509714802,0.0866388736849973,0.2729732140919579,11.093976131934898,13.295259605861569,0.3598690708381085,0.0331354618787622
BHARTIARTL,2024-12-31,25.54,15.41294704308805,1.9768905634857377,451293000000.0,147812000000.0,0.5712127140545371,0.1180457114471884,0.3275300082208233,0.5000609360216091,8.670036491490588,7.995048393881246,0.3604118965722404,0.0881531009107063
BHARTIARTL,2025-03-31,11.11,46.01398814808239,1.879462734413694,478762000000.0,110218000000.0,0.3878460727761214,0.085712663727612,0.2302145951433071,0.2286396998926397,8.572994591648254,12.697928489566838,0.3723163758329763,0.0608673300937527
BHARTIARTL,2025-06-30,10.26,48.56089690507736,1.69853312128937,494626000000.0,59479000000.0,0.1987210541614184,0.0461939896710273,0.1202504518565542,0.3227731659880394,9.487252480147667,11.729380458808098,0.3841481587622785,0.0331354618787622
BHARTIARTL,2025-12-31,11.44,46.01398814808239,0.9543063355044986,539816000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1228288898439468,0.3320483275782859,9.254817157488798,9.571485437013578,0.4471917766391212,0.0913619583281104
HINDUNILVR,2024-06-30,11.11,54.71205689904928,0.9543063355044986,451293000000.0,66305000000.0,0.19911357351607614,0.06595332669931965,0.1637320380489779,0.22574028242074684,9.254817157488798,24.21985470444341,0.4471917766391212,0.0331354618787622
HINDUNILVR,2024-09-30,11.03,65.07867724919255,0.0325153615881518,157290000000.0,25910000000.0,0.2041121789821963,0.1283229121525413,0.1647275732722996,0.2321825926632335,13.286422358765146,42.04068807573052,0.7790008048040612,0.0331354618787622
HINDUNILVR,2024-12-31,12.7,44.97392308993603,0.9543063355044986,153530000000.0,29840000000.0,0.19911357351607614,0.06595332669931965,0.1943594085846414,0.2697844069562952,9.254817157488798,30.08998377167413,0.4471917766391212,-0.0239048890584271
HINDUNILVR,2025-03-31,11.11,46.01398814808239,0.0333589733209181,154460000000.0,24640000000.0,0.1995060928707339,0.1233850776164246,0.1595235012300919,0.222840864948854,10.431768020202696,33.71121692623736,0.7734601902854281,0.0060574480557544
HINDUNILVR,2025-06-30,11.73,48.523079302203215,0.9543063355044986,163230000000.0,27560000000.0,0.19911357351607614,0.06595332669931965,0.168841511976965,0.210132941248545,9.254817157488798,35.27645209072418,0.4471917766391212,0.0567784539686651
HINDUNILVR,2025-12-31,28.12,20.58943725412296,0.9543063355044986,162350000000.0,66070000000.0,0.19911357351607614,0.06595332669931965,0.4069602710194025,0.1852171234986141,9.254817157488798,40.68045883831884,0.4471917766391212,-0.0053911658396128
