Ticker,Date,EPS,P/E Ratio,Debt-to-Equity,Revenue Growth,ROE,Return on Assets,Net Profit Margin,Operating Margin,Price-to-Book,Current Ratio,Asset Turnover,Inventory Turnover,Earnings Growth,Net Profit,Revenue
RELIANCE,2024-09-30,,,0.4362971396773213,,,,,,2.417542730113463,1.0805221790586321,,,,,
RELIANCE,2024-12-31,13.7,21.98983965128878,,,,,0.07725450651287992,0.14510013084096574,,,,,,185400000000.0,2399860000000.0
RELIANCE,2025-03-31,14.34,21.650542574447567,0.43830052182163187,0.08918020217846045,0.09206356736242884,0.03980676070869449,0.0742459485515785,0.13488760004284817,1.9930788785889366,1.1003510844387827,0.5361472441966422,7.158275252974764,0.046715328467153316,194070000000.0,2613880000000.0
RELIANCE,2025-06-30,19.95,18.643506654820644,,-0.067929667773578,,,0.11079825310304064,0.18134727786169305,,,,,0.39121338912133896,269940000000.0,2436320000000.0
RELIANCE,2025-09-30,,,,,,,,,,,,,,,
RELIANCE,2025-12-31,13.78,28.359444982254626,,,,,0.0703837224665446,0.13706800551140974,,,,,,186450000000.0,2649050000000.0
RELIANCE,2026-03-31,12.54,27.17102148125997,0.44025087663020035,0.11005454785677893,0.07509042841498623,0.03116604075036499,0.057712907953845996,0.11487490605626761,2.040129841751945,1.097911516589254,0.5400185479353944,7.045818582613019,-0.08998548621190128,169710000000.0,2940590000000.0
HDFCBANK,2024-09-30,,,1.0436007649924546,,0.09570692806919028,0.015211999711777151,0.8888084907276488,,1.811165649568698,,0.017115047696409164,,,173810500000.0,195554500000.0
HDFCBANK,2024-12-31,23.11,9.461304925830268,1.301248277819151,2.3381824504166357,0.14063680920632696,0.01670374341196802,0.27047643936870996,,2.6816003328669096,,0.06175674099730991,,,176566100000.0,652796600000.0
HDFCBANK,2025-03-31,,,0.9543063355044986,0.4599630267682153,0.08020673576286359,0.012777924019656555,0.1615163553899974,,1.7492439401150208,,0.0791122607292802,,,153934600000.0,953058900000.0
HDFCBANK,2025-06-30,10.615,23.510735000128797,1.1050040872852018,-0.10449962746268882,0.11984438424999597,0.01459401680956743,0.1904930796192367,,2.8326346546018093,,0.07661179523549302,,,162579100000.0,853464600000.0
INFY,2024-09-30,,,,,,,,,,,,,,,
INFY,2024-12-31,0.19,2402.5813052528783,,,,,,,,,,,,,
INFY,2025-03-31,0.2,1853.2783508300781,0.08585452922802321,,0.2902275769745649,0.1866926918881681,0.17188160676532768,0.2386892177589852,535.7031315621768,2.2663607342378294,1.0861702738389116,,0.05263157894736836,813000000.0,4730000000.0
INFY,2025-06-30,0.2,1972.0600891113281,0.0626072815972536,0.044608879492600506,0.29234799891589125,0.18547601306814926,0.16373203804897793,0.20805504958510423,577.041635215048,2.181606519208382,1.132802200951453,,0.0,809000000.0,4941000000.0
INFY,2025-09-30,,,0.08475159016675263,0.02732240437158473,0.28846484442152315,0.18578387953941541,0.1652876280535855,0.2318754925137904,494.1777739264652,2.280436447166922,1.1240035429583703,,,839000000.0,5076000000.0
INFY,2025-12-31,0.18,2243.6111450195312,0.10592440160294596,0.004531126871552438,0.3236217914004116,0.1873001943208174,0.14649931359090018,0.205138262404393,708.3414498159316,1.811881188118812,1.2785056102300507,,,747000000.0,5099000000.0
INFY,2026-03-31,0.23,1386.6303817085598,0.0988146331493971,-0.011570896254167518,0.375638667484161,0.2235193968138149,0.18234126984126983,0.23412698412698413,527.7749022235856,1.9782451051486585,1.2258299890550894,,0.2777777777777779,919000000.0,5040000000.0
M&M,2024-09-30,,,1.6573257792634513,,,,,,5.2291368036177195,1.3120328053299362,,,,,
M&M,2024-12-31,28.51,26.158657495451155,,,,,0.07670521003507055,0.17976977198590233,,,,,,31805800000.0,414649800000.0
M&M,2025-03-31,29.52,22.161887977827533,1.6218997788908092,0.027027385519057257,0.17109131677182138,0.04748318423674197,0.07737743705805263,0.1649221439982041,4.078780019680391,1.401355771422713,0.6136567201252425,8.378499163589664,0.03542616625745354,32951700000.0,425856700000.0
M&M,2025-06-30,36.58,21.581669177039196,,0.06692885188844033,,,0.08986994419388378,0.17772958287591217,,,,,0.23915989159891593,40833200000.0,454358800000.0
M&M,2025-12-31,41.85,22.15770580150463,,0.13522506882226115,,,0.09062901379315025,0.1739807812919555,,,,,0.14406779661016955,46746400000.0,515799500000.0
M&M,2026-03-31,41.77,18.14400287287527,1.4389731713434522,0.06420324176351477,0.20054792695954246,0.05877910545273022,0.08503257787400793,0.16981539052914338,3.9100467454588714,1.267368174075544,0.6912539513952256,9.960311393837175,-0.0019115890083631903,46675700000.0,548915500000.0
BHARTIARTL,2024-09-30,,,2.589523912309667,,,,,,11.855413801106675,0.3586041687342982,,,,,
BHARTIARTL,2024-12-31,25.54,15.41294704308805,1.9768905634857377,,0.5712127140545371,0.11804571144718842,0.3275300082208233,0.5000609360216091,9.265106491570302,0.416969570247183,0.36041189657224043,,,147812000000.0,451293000000.0
BHARTIARTL,2025-03-31,19.02,22.47444578024366,1.879462734413694,0.06086733009375278,0.38784607277612143,0.085712663727612,0.2302145951433071,0.3151085508039485,9.16140409803759,0.37457728377601,0.3723163758329763,423.964578259907,-0.2552858261550509,110218000000.0,478762000000.0
BHARTIARTL,2025-06-30,10.26,48.560896905077364,1.69853312128937,0.03313546187876226,0.19872105416141847,0.04619398967102733,0.12025045185655424,0.32277316598803946,10.138412292411287,0.4239760962333093,0.3841481587622785,,-0.4605678233438486,59479000000.0,494626000000.0
BHARTIARTL,2025-12-31,11.44,46.01398814808239,,0.09136195832811045,,,0.12282888984394683,0.33204832757828595,,,,,0.1150097465886939,66305000000.0,539816000000.0
BHARTIARTL,2026-03-31,12.53,35.552674070512026,1.3109899192655676,0.025964402685359378,0.1965723087739825,0.053065860897623045,0.13226213003221193,0.2825820826532234,7.280945617651938,0.5169768093535053,0.4012173468301097,368.6683308370777,0.0952797202797202,73251000000.0,553832000000.0
HINDUNILVR,2024-09-30,,,0.03251536158815188,,,,,,13.286422358765146,1.643510437757453,,,,,
HINDUNILVR,2024-12-31,12.7,44.97392789585384,,,,,0.19435940858464143,0.2697844069562952,,,,,,29840000000.0,153530000000.0
HINDUNILVR,2025-03-31,10.48,52.32254494237536,0.03335897332091818,-0.023969256822770846,0.19950609287073398,0.12338507761642464,0.1644310977644311,0.23189856523189856,10.431768020202695,1.3334341174336337,0.7503755633450175,13.576443941109853,-0.17480314960629917,24640000000.0,149850000000.0
HINDUNILVR,2025-06-30,11.73,48.523079302203215,,0.08928928928928936,,,0.168841511976965,0.210132941248545,,,,,0.1192748091603053,27560000000.0,163230000000.0
HINDUNILVR,2025-12-31,28.12,20.589437254122956,,-0.005391165839612855,,,0.4069602710194025,0.1852171234986141,,,,,1.3972719522591643,66070000000.0,162350000000.0
HINDUNILVR,2026-03-31,12.73,40.547917344302334,0.03032479123494532,-0.0017246689251616543,0.24555284269271016,0.15006520212659244,0.18461158758561116,0.24680693527488123,9.953427366021593,1.223294102514631,0.8128698966797071,13.536855293380665,-0.5472972972972974,29920000000.0,162070000000.0
